x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
0.00,0.00,0.424413182,0.084882636,0.036378273,0.020210152,0.012861006,0.008903773,0.006529434,0.127323954,0.090945682,0.057874525,0.042441318
0.02,0.02,0.424073696,0.084611157,0.036116663,0.019952013,0.012604642,0.008648573,0.006275148,0.127934919,0.091818256,0.059261601,0.044337881
0.04,0.04,0.423055784,0.083798454,0.035335598,0.019184192,0.011845771,0.007897601,0.005532096,0.129765534,0.094429937,0.063399974,0.049970277
0.06,0.06,0.421361072,0.082449728,0.03404631,0.017926302,0.010614646,0.006693908,0.004358154,0.132808972,0.098762663,0.070221715,0.059169653
0.08,0.08,0.418992272,0.080573605,0.032267343,0.016210477,0.008960349,0.005106492,0.00284476,0.137053895,0.104786552,0.079615727,0.071664475
0.10,0.10,0.415953174,0.078182085,0.030024284,0.014080548,0.006948831,0.003226351,0.001109789,0.142484513,0.112460228,0.091430849,0.087094709
0.12,0.12,0.41224864,0.075290467,0.027349394,0.011590926,0.004660285,0.001161263,-0.000711622,0.149080665,0.121731271,0.10548006,0.105030419
0.14,0.14,0.407884596,0.071917247,0.024281145,0.008805208,0.002185948,-0.000970393,-0.002477605,0.156817929,0.132536784,0.121545627,0.124993626
0.16,0.16,0.402868024,0.068084003,0.020863666,0.005794558,-0.000375535,-0.003046423,-0.00405061,0.165667746,0.14480408,0.139385057,0.14648209
0.18,0.18,0.397206949,0.063815252,0.017146112,0.002635883,-0.002922047,-0.004947819,-0.005308116,0.175597572,0.15845146,0.158737624,0.16899356
0.20,0.20,0.390910427,0.059138302,0.013181949,-0.000590127,-0.005352067,-0.006565586,-0.006152178,0.186571043,0.173389094,0.179331288,0.192049052
0.22,0.22,0.383988532,0.054083069,0.009028194,-0.003801061,-0.007568716,-0.007806987,-0.006517052,0.198548172,0.189519977,0.200889755,0.215213795
0.24,0.24,0.376452337,0.048681888,0.004744589,-0.006914896,-0.009483625,-0.008600861,-0.006374319,0.211485547,0.206740958,0.223139478,0.238114658
0.26,0.26,0.368313899,0.04296931,0.000392744,-0.009852087,-0.011020451,-0.008901697,-0.005735095,0.225336563,0.224943819,0.245816357,0.26045315
0.28,0.28,0.359586237,0.036981875,-0.00396475,-0.012537602,-0.012117927,-0.008692253,-0.00464917,0.24005166,0.24401641,0.268671939,0.282013362
0.30,0.30,0.350283314,0.030757881,-0.00826522,-0.014902839,-0.012732299,-0.007984533,-0.003201125,0.255578577,0.263843796,0.291478934,0.302664593
0.32,0.31,0.340420013,0.024337143,-0.012446813,-0.016887376,-0.012839075,-0.006819108,-0.001503748,0.271862617,0.28430943,0.314035881,0.322358736
0.34,0.33,0.330012111,0.01776073,-0.016449388,-0.018440518,-0.012433997,-0.005262784,0.000310756,0.288846931,0.305296319,0.336170833,0.341122862
0.36,0.35,0.319076261,0.011070708,-0.020215375,-0.019522588,-0.011533215,-0.003404775,0.002101054,0.306472803,0.326688178,0.357743981,0.359047702
0.38,0.37,0.307629957,0.004309872,-0.02369061,-0.020105946,-0.01017264,-0.001351591,0.003727704,0.324679943,0.348370553,0.378649139,0.376273027
0.40,0.39,0.295691511,-0.002478532,-0.02682511,-0.020175689,-0.008406514,0.000779071,0.005064006,0.343406794,0.370231903,0.398814106,0.392971029
0.42,0.41,0.283280022,-0.009251083,-0.029573791,-0.019730035,-0.006305247,0.002865074,0.006005877,0.362590834,0.392164625,0.418199906,0.409328955
0.44,0.43,0.270415344,-0.015964458,-0.03189712,-0.018780368,-0.00395261,0.00478684,0.006479955,0.382168886,0.414066006,0.436798984,0.425532189
0.46,0.44,0.25711806,-0.022575715,-0.033761682,-0.017350949,-0.001442394,0.006434204,0.006449316,0.402077427,0.435839109,0.454632453,0.441748933
0.48,0.46,0.243409442,-0.029042564,-0.035140659,-0.015478293,0.001125325,0.007712734,0.005916345,0.422252895,0.457393554,0.471746522,0.458117443
0.50,0.48,0.229311421,-0.035323641,-0.036014217,-0.013210237,0.003648181,0.008549138,0.004922555,0.442631992,0.478646209,0.488208265,0.474736572
0.52,0.50,0.21484655,-0.041378766,-0.036369792,-0.010604719,0.006025595,0.008895472,0.003545351,0.463151988,0.499521781,0.504100905,0.491660082
0.54,0.51,0.200037971,-0.047169209,-0.036202271,-0.0077283,0.008162789,0.008731881,0.001892003,0.48375101,0.519953281,0.519518792,0.508894908
0.56,0.53,0.184909373,-0.052657929,-0.035514062,-0.004654457,0.009974557,0.008067743,9.12892E-05,0.504368328,0.539882391,0.534562291,0.526403259
0.58,0.55,0.16948496,-0.057809819,-0.034315064,-0.001461715,0.011388671,0.006941129,-0.001716536,0.524944631,0.559259695,0.549332739,0.544108145
0.60,0.56,0.153789407,-0.062591923,-0.032622522,0.001768368,0.012348755,0.005416622,-0.003390661,0.545422287,0.57804481,0.563927687,0.561901725
0.62,0.58,0.137847824,-0.066973652,-0.030460779,0.004953277,0.012816533,0.003581612,-0.00480069,0.5657456,0.596206379,0.578436569,0.579655647
0.64,0.60,0.121685714,-0.070926978,-0.027860927,0.008011652,0.012773357,0.00154129,-0.005836799,0.585861036,0.613721963,0.592936955,0.597232464
0.66,0.61,0.105328933,-0.074426614,-0.024860359,0.010865366,0.012220947,-0.000587386,-0.006418283,0.605717453,0.630577812,0.6074915,0.614497169
0.68,0.63,0.088803648,-0.077450174,-0.021502231,0.01344152,0.011181326,-0.00268239,-0.006499854,0.625266298,0.646768529,0.622145683,0.631327927
