x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
0.00,0.00,0.212206591,0.042441318,0.018189136,0.010105076,0.006430503,0.004451887,0.003264717,0.063661977,0.045472841,0.028937262,0.021220659
0.02,0.02,0.212036848,0.042305578,0.018058332,0.009976006,0.006302321,0.004324286,0.003137574,0.073966793,0.055908461,0.039630134,0.032168274
0.04,0.04,0.211527892,0.041899227,0.017667799,0.009592096,0.005922885,0.003948801,0.002766048,0.084877434,0.067209635,0.051694654,0.044979806
0.06,0.06,0.210680536,0.041224864,0.017023155,0.008963151,0.005307323,0.003346954,0.002179077,0.096386489,0.079363335,0.065092861,0.05956683
0.08,0.08,0.209496136,0.040286802,0.016133672,0.008105238,0.004480174,0.002553246,0.00142238,0.108484295,0.092350623,0.07976521,0.075789585
0.10,0.10,0.207976587,0.039091043,0.015012142,0.007040274,0.003474415,0.001613176,0.000554895,0.121158965,0.106146823,0.095632133,0.093464063
0.12,0.12,0.20612432,0.037645234,0.013674697,0.005795463,0.002330143,0.000580632,-0.000355811,0.134396436,0.120721739,0.112596134,0.112371313
0.14,0.14,0.203942298,0.035958624,0.012140572,0.004402604,0.001092974,-0.000485197,-0.001238803,0.148180522,0.136039949,0.130544371,0.13226837
0.16,0.16,0.201434012,0.034042001,0.010431833,0.002897279,-0.000187768,-0.001523211,-0.002025305,0.162492976,0.152061143,0.149351632,0.152900148
0.18,0.18,0.198603474,0.031907626,0.008573056,0.001317941,-0.001461024,-0.00247391,-0.002654058,0.177313572,0.168740517,0.168883599,0.174011567
0.20,0.20,0.195455213,0.029569151,0.006590975,-0.000295063,-0.002676033,-0.003282793,-0.003076089,0.192620187,0.186029212,0.189000309,0.195359191
0.22,0.22,0.191994266,0.027041534,0.004514097,-0.001900531,-0.003784358,-0.003903494,-0.003258526,0.208388897,0.2038748,0.209559689,0.216721709
