x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
0.00,0.00,0,0,0,0,0,0,0,0,0,0
0.02,0.02,0.039973686,-0.039894807,0.03976355,-0.039580225,0.039345266,-0.039059228,0.038722788,0.039842429,0.03960747,0.03927103
0.04,0.04,0.079789615,-0.07916045,0.078118456,-0.076673479,0.074839143,-0.072632704,0.070074852,0.078747621,0.076913285,0.074355434
0.06,0.06,0.11929065,-0.117177684,0.113705977,-0.108949056,0.103007243,-0.096005132,0.088088456,0.115818943,0.10987713,0.101960454
0.08,0.08,0.158320899,-0.153346957,0.145265408,-0.134378963,0.121092277,-0.105893925,0.089334784,0.15023935,0.136952663,0.120393522
0.10,0.10,0.196726329,-0.187097857,0.171678738,-0.151365346,0.127323954,-0.10091023,0.073576602,0.18130721,0.157265819,0.129932191
0.12,0.12,0.234355369,-0.217898111,0.192010264,-0.158840887,0.121092277,-0.081753994,0.043813416,0.208467522,0.170718911,0.132778333
0.14,0.14,0.271059516,-0.245261983,0.205539731,-0.156335871,0.103007243,-0.051115652,0.005710527,0.231337264,0.178008635,0.132603509
0.16,0.16,0.306693914,-0.268757926,0.21178785,-0.144007698,0.074839143,-0.013298269,-0.033479338,0.249723838,0.180555283,0.133777675
0.18,0.18,0.341117932,-0.288015396,0.210533278,-0.122630991,0.039345266,0.026386817,-0.066296549,0.263635815,0.180350089,0.140440357
0.20,0.20,0.374195714,-0.302730691,0.201820461,-0.093548928,1.55991E-17,0.062365952,-0.086494483,0.273285483,0.179736555,0.155608024
0.22,0.22,0.405796715,-0.312671743,0.185958053,-0.058588842,-0.039345266,0.089585975,-0.090228548,0.279083025,0.181148917,0.180506345
0.24,0.24,0.435796223,-0.317681774,0.163507988,-0.019947404,-0.074839143,0.104223914,-0.076787979,0.281622437,0.18683589,0.214271826
0.26,0.26,0.464075842,-0.317681774,0.135265572,0.019947404,-0.103007243,0.104223914,-0.048731133,0.281659639,0.1985998,0.254092581
0.28,0.28,0.490523965,-0.312671743,0.102231305,0.058588842,-0.121092277,0.089585975,-0.011398516,0.280083527,0.217580093,0.295767552
0.30,0.30,0.515036215,-0.302730691,0.065575443,0.093548928,-0.127323954,0.062365952,0.028103761,0.277880966,0.24410594,0.334575654
0.32,0.32,0.537515852,-0.288015396,0.026596538,0.122630991,-0.121092277,0.026386817,0.062256603,0.276096994,0.277635709,0.366279128
0.34,0.34,0.557874159,-0.268757926,-0.013324562,0.144007698,-0.103007243,-0.013298269,0.084559156,0.275791671,0.316792126,0.388053014
0.36,0.36,0.576030792,-0.245261983,-0.052773633,0.156335871,-0.074839143,-0.051115652,0.090766221,0.277995176,0.359491905,0.399142474
0.38,0.38,0.591914095,-0.217898111,-0.090353172,0.158840887,-0.039345266,-0.081753994,0.079696308,0.283662812,0.403158433,0.401100747
0.40,0.40,0.605461383,-0.187097857,-0.124731905,0.151365346,-3.11981E-17,-0.10091023,0.053456531,0.293631622,0.444996967,0.397543267
0.42,0.42,0.616619192,-0.153346957,-0.154691947,0.134378963,0.039345266,-0.105893925,0.017041521,0.308580287,0.482304516,0.393452112
0.44,0.44,0.625343486,-0.117177684,-0.179171951,0.108949056,0.074839143,-0.096005132,-0.022617271,0.328993851,0.512782049,0.394159646
0.46,0.46,0.631599835,-0.07916045,-0.197304698,0.076673479,0.103007243,-0.072632704,-0.057970959,0.355134687,0.534815409,0.404211746
0.48,0.48,0.635363549,-0.039894807,-0.208447829,0.039580225,0.121092277,-0.039059228,-0.082290113,0.387020913,0.547693414,0.426344073
0.50,0.50,0.636619772,-3.89977E-17,-0.212206591,3.89977E-17,0.127323954,-3.89977E-17,-0.090945682,0.424413182,0.551737136,0.460791454
0.52,0.52,0.635363549,0.039894807,-0.208447829,-0.039580225,0.121092277,0.039059228,-0.082290113,0.466810527,0.548322579,0.505091694
0.54,0.54,0.631599835,0.07916045,-0.197304698,-0.076673479,0.103007243,0.072632704,-0.057970959,0.513455587,0.539789351,0.554451096
0.56,0.56,0.625343486,0.117177684,-0.179171951,-0.108949056,0.074839143,0.096005132,-0.022617271,0.56334922,0.529239307,0.602627168
0.58,0.58,0.616619192,0.153346957,-0.154691947,-0.134378963,0.039345266,0.105893925,0.017041521,0.615274202,0.520240504,0.64317595
0.60,0.60,0.605461383,0.187097857,-0.124731905,-0.151365346,4.67972E-17,0.10091023,0.053456531,0.667827335,0.516461989,0.67082875
0.62,0.62,0.591914095,0.217898111,-0.090353172,-0.158840887,-0.039345266,0.081753994,0.079696308,0.719459034,0.521272881,0.682723184
0.64,0.64,0.576030792,0.245261983,-0.052773633,-0.156335871,-0.074839143,0.051115652,0.090766221,0.768519142,0.537344127,0.679226001
0.66,0.66,0.557874159,0.268757926,-0.013324562,-0.144007698,-0.103007243,0.013298269,0.084559156,0.813307523,0.566292582,0.664150007
0.68,0.68,0.537515852,0.288015396,0.026596538,-0.122630991,-0.121092277,-0.026386817,0.062256603,0.852127786,0.608404518,0.644274305
0.70,0.70,0.515036215,0.302730691,0.065575443,-0.093548928,-0.127323954,-0.062365952,0.028103761,0.883342349,0.662469466,0.628207275
0.72,0.72,0.490523965,0.312671743,0.102231305,-0.058588842,-0.121092277,-0.089585975,-0.011398516,0.905427013,0.725745894,0.624761403
0.74,0.74,0.464075842,0.317681774,0.135265572,-0.019947404,-0.103007243,-0.104223914,-0.048731133,0.917023188,0.794068541,0.641113494
